dataset_key,dataset_label,model_key,model_label,is_sigma_baseline,higher_better,display_unit,seed,metric_raw,metric_display,wandb_group,wandb_run_id,wandb_run_name
voc,PascalVOC-SP,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,F1,2,0.45029,0.45029,paper_T5_voc_SiGMA_ungated_attn,4d2iwc10,paper_T5_voc_SiGMA_ungated_attn_seed2_job36605829_13
voc,PascalVOC-SP,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,F1,3,0.47238,0.47238,paper_T5_voc_SiGMA_ungated_attn,nzk7uzzz,paper_T5_voc_SiGMA_ungated_attn_seed3_job36605829_14
voc,PascalVOC-SP,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,F1,4,0.4483,0.4483,paper_T5_voc_SiGMA_ungated_attn,xnuc25p5,paper_T5_voc_SiGMA_ungated_attn_seed4_job36605829_15
voc,PascalVOC-SP,SiGMA_ungated,"SiGMA, ungated",False,True,F1,0,0.47986,0.47986,paper_T5_voc_SiGMA_ungated,qf1e32ua,paper_T5_voc_SiGMA_ungated_seed0_job32232124_46
voc,PascalVOC-SP,SiGMA_ungated,"SiGMA, ungated",False,True,F1,1,0.45601,0.45601,paper_T5_voc_SiGMA_ungated,alwifq53,paper_T5_voc_SiGMA_ungated_seed1_job32232124_47
voc,PascalVOC-SP,SiGMA_ungated,"SiGMA, ungated",False,True,F1,2,0.47614,0.47614,paper_T5_voc_SiGMA_ungated,pkntir4l,paper_T5_voc_SiGMA_ungated_seed2_job32232124_48
voc,PascalVOC-SP,SiGMA_ungated,"SiGMA, ungated",False,True,F1,3,0.46931,0.46931,paper_T5_voc_SiGMA_ungated,n3u0k1x8,paper_T5_voc_SiGMA_ungated_seed3_job32232124_49
voc,PascalVOC-SP,SiGMA_ungated,"SiGMA, ungated",False,True,F1,4,0.46394,0.46394,paper_T5_voc_SiGMA_ungated,ga0u29n1,paper_T5_voc_SiGMA_ungated_seed4_job32232124_50
mnist,MNIST,SiGMA,SiGMA,True,True,accuracy_pct,0,0.9859,98.59,paper_bestmodel_v1_mnist_lcvbyyss,uh7nxm4e,mnist_hybrid_lcvbyyss_a2g2_seed0_job25313521_1
mnist,MNIST,SiGMA,SiGMA,True,True,accuracy_pct,1,0.9877,98.77,paper_bestmodel_v1_mnist_lcvbyyss,jorlmk2q,mnist_hybrid_lcvbyyss_a2g2_seed1_job25313521_2
mnist,MNIST,SiGMA,SiGMA,True,True,accuracy_pct,2,0.9865,98.65,paper_bestmodel_v1_mnist_lcvbyyss,86jxiuvz,mnist_hybrid_lcvbyyss_a2g2_seed2_job25313521_3
mnist,MNIST,SiGMA,SiGMA,True,True,accuracy_pct,3,0.9848,98.48,paper_bestmodel_v1_mnist_lcvbyyss,loebushu,mnist_hybrid_lcvbyyss_a2g2_seed3_job25313521_4
